customer_id,full_name,gender,dob,MobileNumber,email,region_risk,city,country
CUST1000,Aditya Iyer,X,2/7/1988,9.19527E+11,user0@example.com,HIGH,Nagpur,IN
CUST1001,Dev Mehta,M,1/20/1985,9.16369E+11,user1@example.com,MED,Delhi,IN
CUST1002,Arjun Shah,F,1/31/2004,9.19551E+11,user2@example.com,HIGH,Nagpur,IN
CUST1003,Dev Mehta,F,2/15/2027,9.1695E+11,user3@example.com,LOW,Bengaluru,IN
CUST1004,Rohan Iyer,M,10/3/2000,,user4@example.com,HIGH,Mumbai,IN
CUST1005,Aditya Shah,M,7/10/1973,9.16418E+11,user5@example.com,HIGH,Nagpur,IN
CUST1006,Aarav Verma,M,9/11/1972,9.18922E+11,user6@example.com,HIGH,Delhi,IN
CUST1007,Kabir Patel,F,7/5/1959,9.17287E+11,user7@example.com,LOW,Pune,IN
CUST1008,Arjun Shah,F,9/25/1964,9.18127E+11,user8@example.com,MED,Delhi,IN
CUST1009,Dev Shah,M,9/20/1990,9.17796E+11,invalid-email,LOW,Mumbai,IN
CUST1010,Krishna Iyer,M,12/9/1999,MSISDN_M1JRc,user10@example.com,HIGH,Bengaluru,IN
CUST1011,Kabir Rao,F,11/1/1958,,user11@example.com,HIGH,Delhi,IN
CUST1012,Vivaan Khan,F,2/15/2027,9.18853E+11,user12@example.com,LOW,Nagpur,IN
CUST1013,Rohan Verma,F,5/26/1962,9.19078E+11,user13@example.com,MED,Mumbai,IN
CUST1014,Krishna Rao,M,11/9/2007,9.16503E+11,user14@example.com,MED,Nagpur,IN
CUST1015,Rohan Gupta,M,7/23/1995,9.17679E+11,user15@example.com,MED,Nagpur,IN
CUST1016,Krishna Iyer,F,31-13-2026,9.19519E+11,user16@example.com,MED,Bengaluru,IN
CUST1017,Reyansh Rao,F,4/29/1991,9.16648E+11,user17@example.com,LOW,Pune,IN
CUST1018,Arjun Kapoor,M,9/6/1999,9.1957E+11,user18@example.com,HIGH,Pune,IN
CUST1019,Rohan Mehta,M,8/2/1992,,user19@example.com,MED,Bengaluru,IN
CUST1020,Kabir Gupta,M,8/21/1972,9.19863E+11,user20@example.com,HIGH,Bengaluru,IN
CUST1021,Reyansh Iyer,F,31-13-2026,9.18068E+11,user21@example.com,HIGH,Delhi,IN
CUST1022,Arjun Shah,M,8/14/2005,9.16697E+11,user22@example.com,LOW,Mumbai,IN
CUST1023,Aarav Shah,M,10/18/1970,,user23@example.com,HIGH,Nagpur,IN
CUST1024,Dev Mehta,M,4/17/1985,MSISDN_oreog,user24@example.com,MED,Pune,IN
CUST1025,Rohan Rao,F,8/30/1968,,user25@example.com,LOW,Delhi,IN
CUST1026,Krishna Patel,F,2/13/1979,9.16619E+11,invalid-email,LOW,Mumbai,IN
CUST1027,Rohan Patel,M,9/22/1961,9.16099E+11,user27@example.com,LOW,Bengaluru,IN
CUST1028,Aditya Reddy,M,9/28/1985,9.1728E+11,user28@example.com,HIGH,Nagpur,IN
CUST1029,Rohan Reddy,F,3/26/1964,9.17528E+11,invalid-email,LOW,Bengaluru,IN
CUST1030,Ishaan Rao,M,11/10/1974,9.19485E+11,user30@example.com,LOW,Pune,IN
CUST1031,Reyansh Kapoor,M,31-13-2026,9.18116E+11,user31@example.com,MED,Nagpur,IN
CUST1032,Rohan Patel,F,4/10/2007,9.18974E+11,user32@example.com,HIGH,Mumbai,IN
CUST1033,Kabir Rao,M,4/22/1980,9.16439E+11,user33@example.com,LOW,Delhi,IN
CUST1034,Kabir Kapoor,F,11/15/1996,9.19867E+11,user34@example.com,HIGH,Nagpur,IN
CUST1035,Kabir Shah,X,7/18/1978,9.1936E+11,user35@example.com,HIGH,Pune,IN
CUST1036,Aditya Iyer,F,2/14/1978,9.1944E+11,user36@example.com,HIGH,Delhi,IN
CUST1037,Reyansh Shah,M,3/29/1979,9.16546E+11,user37@example.com,LOW,Pune,IN
CUST1038,Krishna Gupta,F,12/3/1971,MSISDN_H8xIZ,user38@example.com,LOW,Bengaluru,IN
CUST1039,Aditya Mehta,M,2/15/2027,9.16441E+11,user39@example.com,HIGH,Pune,IN
CUST1040,Arjun Kapoor,M,5/9/1981,9.16914E+11,user40@example.com,MED,Bengaluru,IN
CUST1041,Dev Rao,F,10/6/1993,9.178E+11,user41@example.com,LOW,Nagpur,IN
CUST1042,Kabir Patel,F,9/14/1961,9.16562E+11,user42@example.com,HIGH,Pune,IN
CUST1043,Ishaan Mehta,F,4/4/1975,9.18614E+11,user43@example.com,LOW,Pune,IN
CUST1044,Aditya Patel,M,10/12/1997,9.16265E+11,user44@example.com,MED,Bengaluru,IN
CUST1045,Ishaan Patel,M,10/14/1975,9.16244E+11,invalid-email,LOW,Pune,IN
CUST1046,Aarav Shah,F,10/15/1991,9.1612E+11,user46@example.com,LOW,Delhi,IN
CUST1047,Dev Reddy,M,12/20/1988,9.17191E+11,user47@example.com,MED,Bengaluru,IN
CUST1048,Krishna Reddy,M,12/24/1974,9.18247E+11,user48@example.com,MED,Bengaluru,IN
CUST1049,Krishna Gupta,F,3/3/1996,9.17685E+11,user49@example.com,MED,Mumbai,IN
CUST1000,Aditya Iyer,X,2/7/1988,9.19527E+11,user0@example.com,HIGH,Nagpur,IN
CUST1001,Dev Mehta,M,1/20/1985,9.16369E+11,user1@example.com,MED,Delhi,IN
